"Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"11 Mar 2017";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"SANOFI";"FR0000120578";"SAN";"Euronext Paris";"EUR";"82,56";"82,86";"82,20";"82,24";"10/03/2017 17:37";"CET";"1804521";"148774629,28"
"SANOFI NV";"FR0013222312";"SANNV";"Euronext Paris";"EUR";"79,55";"79,55";"79,45";"79,45";"10/03/2017 17:00";"CET";"13952";"1109324,30"
"SAPEC";"BE0003625366";"SAP";"Euronext Brussels";"EUR";"167,60";"167,70";"166,55";"167,70";"10/03/2017 17:35";"CET";"732";"122317,55"
"SAPMER";"FR0010776617";"ALMER";"Alternext Paris";"EUR";"17,00";"17,00";"17,00";"17,00";"10/03/2017 15:30";"CET";"831";"14127,00"
"SARTORIUS STED BIO";"FR0013154002";"DIM";"Euronext Paris";"EUR";"61,02";"62,28";"60,99";"62,00";"10/03/2017 17:35";"CET";"30433";"1882142,82"
"SAVENCIA";"FR0000120107";"SAVE";"Euronext Paris";"EUR";"76,13";"79,03";"76,13";"77,59";"10/03/2017 17:35";"CET";"11702";"910529,42"
"SAVONNERIE NYONS";"FR0013155975";"MLSDN";"Marché Libre Paris";"EUR";"14,32";"14,32";"14,32";"14,32";"06/03/2017 15:00";"CET";"76";"1088,32"
"SBM OFFSHORE";"NL0000360618";"SBMO";"Euronext Amsterdam";"EUR";"14,52";"14,795";"14,52";"14,53";"10/03/2017 17:35";"CET";"1116406";"16327369,415"
"SBT";"FR0004175222";"MLSBT";"Marché Libre Paris";"EUR";"5,75";"5,75";"5,75";"5,75";"08/03/2017 15:00";"CET";"14";"80,50"
"SCANDINAVIAN HOUSE";"CH0220529603";"MLSHD";"Marché Libre Paris";"EUR";"17,51";"17,51";"17,51";"17,51";"13/05/2016 15:00";"CET";"500";"8755,00"
"SCBSM";"FR0006239109";"CBSM";"Euronext Paris";"EUR";"5,85";"5,85";"5,85";"5,85";"10/03/2017 09:12";"CET";"100";"585,00"
"SCEMI";"FR0010972091";"MLCMI";"Marché Libre Paris";"EUR";"1,85";"1,85";"1,85";"1,85";"28/02/2017 15:00";"CET";"325";"601,25"
"SCHEERD.V KERCHOVE";"BE0012378593";"SCHD";"Euronext Brussels";"EUR";"800,00";"800,00";"800,00";"800,00";"24/08/2016 16:30";"CET";"10";"8000,00"
"SCHLUMBERGER";"AN8068571086";"SLB";"Euronext Paris";"EUR";"74,47";"74,66";"73,66";"73,76";"10/03/2017 17:25";"CET";"5210";"386886,36"
"SCHNEIDER ELECT NV";"FR0013222395";"SUNV";"Euronext Paris";"EUR";"63,50";"63,50";"63,48";"63,48";"08/03/2017 17:00";"CET";"1074";"68197,00"
"SCHNEIDER ELECTRIC";"FR0000121972";"SU";"Euronext Paris";"EUR";"64,58";"65,89";"64,54";"65,26";"10/03/2017 17:35";"CET";"1547303";"101199857,16"
"SCHOBRUNN PARIS";"FR0010961920";"MLSCH";"Marché Libre Paris";"EUR";"47,00";"47,00";"47,00";"47,00";"14/10/2011 15:00";"CET";"5";"235,00"
"SCOR SE";"FR0010411983";"SCR";"Euronext Paris";"EUR";"35,26";"35,73";"35,26";"35,31";"10/03/2017 17:35";"CET";"436767";"15464945,43"
"SDC INV.";"PTSCO0AE0004";"SDCAE";"Euronext Lisbon";"EUR";"0,023";"0,024";"0,023";"0,024";"10/03/2017 15:09";"GMT";"202500";"4658,536"
"SDC INV.-PREF.";"PTSCO0VE0009";"SDCP";"Euronext Lisbon";"EUR";"1,20";"1,20";"1,20";"1,20";"22/02/2010 10:30";"GMT";"15";"18,00"
"SECHE ENVIRONNEM.";"FR0000039109";"SCHP";"Euronext Paris";"EUR";"28,48";"28,48";"28,28";"28,35";"10/03/2017 17:35";"CET";"968";"27441,71"
"SECURINFOR";"FR0000071755";"MLSEC";"Marché Libre Paris";"EUR";"14,23";"14,23";"14,23";"14,23";"23/01/2017 15:00";"CET";"90";"1280,70"
"SELCODIS";"FR0000065492";"SLCO";"Euronext Paris";"EUR";"0,29";"0,29";"0,29";"0,29";"25/03/2009 00:00";"CET";"2074";"601,00"
"SELECTIRENTE";"FR0004175842";"SELER";"Euronext Paris";"EUR";"72,58";"72,58";"72,58";"72,58";"10/03/2017 11:30";"CET";"1";"72,58"
"SEMAPA";"PTSEM0AM0004";"SEM";"Euronext Lisbon";"EUR";"13,32";"13,54";"13,32";"13,41";"10/03/2017 16:35";"GMT";"8749";"117908,07"
"SEMPLICEMENTE BS";"IT0005072803";"MLSMW";"Marché Libre Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"SEMPLICEMENTE SpA";"IT0005072811";"MLSMP";"Marché Libre Paris";"EUR";"0,81";"0,81";"0,81";"0,81";"05/08/2016 15:00";"CET";"100";"81,00"
"SENDR SE";"DE000A1YDAZ7";"MLSDR";"Marché Libre Paris";"EUR";"13,80";"13,80";"13,80";"13,80";"25/10/2016 15:00";"CET";"40";"552,00"
"SENSORION";"FR0012596468";"ALSEN";"Alternext Paris";"EUR";"4,46";"4,76";"4,40";"4,47";"10/03/2017 17:35";"CET";"199541";"914610,87"
"SEQUA PETROLEUM NV";"NL0010623518";"MLSEQ";"Marché Libre Paris";"EUR";"0,09";"0,09";"0,09";"0,09";"10/03/2017 15:00";"CET";"1";"0,09"
"SEQUANA";"FR0011352590";"SEQ";"Euronext Paris";"EUR";"1,47";"1,54";"1,46";"1,52";"10/03/2017 17:35";"CET";"475427";"719979,05"
"SERGEFERRARI GROUP";"FR0011950682";"SEFER";"Euronext Paris";"EUR";"11,52";"11,52";"11,40";"11,40";"10/03/2017 17:35";"CET";"1197";"13696,60"
"SERMA TECHNOLOGIES";"FR0000073728";"ALSER";"Alternext Paris";"EUR";"165,01";"165,01";"165,01";"165,01";"10/02/2017 15:30";"CET";"10";"1650,10"
"SES";"LU0088087324";"SESG";"Euronext Paris";"EUR";"19,75";"19,75";"19,315";"19,56";"10/03/2017 17:35";"CET";"855934";"16710671,725"
"SES IMAGOTAG";"FR0010282822";"SESL";"Euronext Paris";"EUR";"30,04";"31,73";"30,03";"31,45";"10/03/2017 17:35";"CET";"21556";"661948,86"
"SES IMAGOTAG NV";"FR0013223096";"SESNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"SETTLEMENTS";"BE0974261902";"STTL";"Alternext Brussels";"USD";"13,52";"13,52";"13,52";"13,52";"10/03/2017 15:30";"CET";"10000";"135200,00"
"SFR GROUP";"FR0011594233";"SFR";"Euronext Paris";"EUR";"28,14";"29,48";"28,14";"29,25";"10/03/2017 17:35";"CET";"299145";"8716249,59"
"SHOWROOMPRIVE";"FR0013006558";"SRP";"Euronext Paris";"EUR";"23,51";"23,90";"23,51";"23,90";"10/03/2017 17:35";"CET";"21920";"520520,20"
"SI PARTICIPATIONS";"FR0000061582";"ALSIP";"Alternext Paris";"EUR";"32,80";"33,59";"32,80";"33,59";"08/03/2017 15:42";"CET";"138";"4547,73"
"SIDETRADE";"FR0010202606";"ALBFR";"Alternext Paris";"EUR";"49,04";"49,75";"49,00";"49,75";"10/03/2017 17:35";"CET";"1415";"70123,97"
"SIEMENS";"DE0007236101";"SIA";"Traded not listed Amsterdam";"EUR";"124,99";"124,99";"122,49";"122,49";"10/03/2017 17:35";"CET";"595";"73406,52"
"SIF HOLDING";"NL0011660485";"SIFG";"Euronext Amsterdam";"EUR";"23,225";"23,495";"23,145";"23,345";"10/03/2017 17:35";"CET";"57997";"1355815,74"
"SIGNAUX GIROD";"FR0000060790";"GIRO";"Euronext Paris";"EUR";"22,39";"22,39";"22,39";"22,39";"10/03/2017 11:30";"CET";"81";"1813,59"
"SII";"FR0000074122";"SII";"Euronext Paris";"EUR";"19,50";"19,50";"19,40";"19,40";"10/03/2017 17:35";"CET";"11741";"228710,79"
"SILC";"FR0010679365";"MLSIL";"Marché Libre Paris";"EUR";"1,10";"1,10";"1,10";"1,10";"01/03/2017 15:00";"CET";"200";"220,00"
"SILKAN RT";"FR0010518605";"MLARI";"Marché Libre Paris";"EUR";"0,50";"0,50";"0,50";"0,50";"24/02/2017 15:00";"CET";"12";"6,00"
"SIMAT";"CI0000000832";"MLMAT";"Marché Libre Paris";"EUR";"0,84";"0,84";"0,84";"0,84";"11/01/2017 15:00";"CET";"58";"48,72"
"SIMO INTERNATIONAL";"FR0004038818";"MLSIM";"Marché Libre Paris";"EUR";"1,29";"1,29";"1,29";"1,29";"03/03/2017 15:03";"CET";"2719";"3507,51"
